model_path,num_samples,accuracy,mean_dice,mean_iou,mean_precision,mean_recall,dice_c0,iou_c0,precision_c0,recall_c0,support_c0,dice_c1,iou_c1,precision_c1,recall_c1,support_c1,dice_c2,iou_c2,precision_c2,recall_c2,support_c2,dice_c3,iou_c3,precision_c3,recall_c3,support_c3
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_0_checkpoint_best.onnx,17,0.8778574326459099,0.8621258301407138,0.758738641848664,0.863622441390234,0.8658913891091478,0.873270283640579,0.7750485950279226,0.8129660715921525,0.9432377938744246,2229864,0.851770691353186,0.7418123583319747,0.8522594649451696,0.8512824780663744,1598117,0.8234205483764168,0.6998427069588575,0.8972902112276303,0.7607884319588997,3586156,0.9000417971926734,0.8182509070759015,0.8919740177959836,0.9082568525368926,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_0_checkpoint_final.onnx,17,0.8661653294282801,0.8507051410031078,0.7417084826731452,0.8570223248324724,0.8506348829944514,0.8568814424265876,0.7495998002565519,0.8021874029314031,0.9195794003580487,2229864,0.8586858776495493,0.7523659445141626,0.8635910547983785,0.853836108370038,1598117,0.7964054132804496,0.6616890953714633,0.8859550849628555,0.7232967556347242,3586156,0.8908478306558449,0.8031790905504029,0.8763557566372524,0.9058272676149949,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_1_checkpoint_best.onnx,17,0.8797035778270048,0.8659937588896146,0.7649120712851302,0.8677607069557223,0.8687299113579818,0.8673507604643101,0.7657717236625399,0.8202650776187949,0.9201713647110317,2229864,0.8760460685677885,0.7794323629007432,0.8651503096009235,0.8872197717689005,1598117,0.8182473146747181,0.6924014853831217,0.893715974146379,0.7545318720100297,3586156,0.9023308918516415,0.8220427131941154,0.891911466456792,0.9129966369419655,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_1_checkpoint_final.onnx,17,0.8816032409667969,0.868234494202091,0.7684642337671945,0.8718702430423699,0.8678721296513727,0.8736820880667193,0.7756975884074134,0.8373647646271303,0.9132924698546638,2229864,0.8768262386001695,0.7806683780676696,0.8728386779151108,0.8808504008154597,1598117,0.8183832092403469,0.6925961239212031,0.8853872341889284,0.7608071149163617,3586156,0.9040464409011283,0.8248948446724917,0.8918902954383104,0.9165385330190061,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_2_checkpoint_best.onnx,17,0.8544328913969153,0.8359178562596752,0.7205044699019368,0.8570102331208473,0.8258468011489639,0.8212751928213641,0.6967488830468804,0.7947896524714896,0.8495867909433041,2229864,0.8680477374881357,0.7668589623752242,0.8659652190591485,0.8701402963612802,1598117,0.7709941406366722,0.6273315418008476,0.9161623734084774,0.6655379743658669,3586156,0.8833543540925286,0.7910784923847954,0.8511236875442738,0.9181221429254043,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_2_checkpoint_final.onnx,17,0.8543052112354952,0.8357629204518319,0.7203307123611576,0.8576746578324222,0.8250093448402603,0.8208566634514692,0.6961466329057143,0.7968996968444203,0.8462986980371897,2229864,0.8688425158087918,0.7681003997688483,0.866892747996975,0.8708010740139802,1598117,0.7700566430986652,0.6260911437732483,0.9167190679818017,0.6638498157916164,3586156,0.8832958594484012,0.79098467299682,0.8501871185064921,0.9190877915182553,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_3_checkpoint_best.onnx,17,0.8604486689848059,0.8429366388666982,0.7297680854321316,0.8444679080605794,0.8472480674371226,0.8341675045549528,0.7155123122867801,0.7730571863922957,0.905768692619819,2229864,0.8503242606871925,0.7396209484210343,0.8476039661578405,0.8530620724264869,1598117,0.8003737367220618,0.6671859071633424,0.8783461813592397,0.7351160964553689,3586156,0.8868810535025857,0.796753173857369,0.8788642983329417,0.8950454082468157,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_3_checkpoint_final.onnx,17,0.8682156731100643,0.8508189938386346,0.7415830402937513,0.856847762644479,0.8495353653029358,0.8441555017991166,0.7303365661324488,0.8084331231422183,0.8831807679750873,2229864,0.8566961659581023,0.749316271361955,0.8469869696382235,0.8666305408177248,1598117,0.8088181388307485,0.6790047474672097,0.8941659698799005,0.7383435076443969,3586156,0.8936061687665706,0.8076745762133916,0.8778049879175738,0.909986644774534,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_4_checkpoint_best.onnx,17,0.8765817530014935,0.860947770191431,0.7570744365467709,0.8652111654818826,0.8607367603456509,0.842728397357009,0.7282027792199995,0.8074702618339348,0.8812062080916145,2229864,0.8774223538068735,0.7816139549744099,0.865773856114398,0.889388574178236,1598117,0.822977094463101,0.6992022760064299,0.900390846952126,0.7578211879237825,3586156,0.90066323513874,0.8192787359862442,0.8872096970270713,0.9145310711889705,10411655
/home/wensheng/gjq_workspace/nnUNet/DATASET/nnUNet_trained_models/Dataset001_prp/nnUNetTrainer__nnUNetPlans__2d/onnx_exports/fold_4_checkpoint_final.onnx,17,0.8762279398301068,0.8603824249831123,0.7562737836381828,0.8654598563399529,0.8597635412771161,0.8424728412006436,0.7278212306262407,0.808564938045164,0.8793491441630521,2229864,0.8778649457492272,0.7823166582522993,0.8641241196462764,0.8920498311450288,1598117,0.8205123912046177,0.6956515567320048,0.9033419734789757,0.7515966957377203,3586156,0.9006795217779612,0.8193056889421862,0.8858083941893954,0.9160584940626634,10411655
